v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,salary
26,65,63,31.6,6,15.3,2.5,7.3,3.5,7.9,0.474,3.6,4.2,0.5,2.9,2.4,0.8,0.1,1.6,2.2,18.1,13.6,0.527,0.48,0.278,1.7,9.8,5.7,12.8,1.3,0.3,8.6,25.4,1,0.9,1.8,0.043,-0.1,-2,-2,0,16.81249839
26,64,64,28.6,5.9,11.7,1.6,3.8,4.3,7.9,0.575,2.2,2.4,1,3.5,3.2,0.7,0.2,1.4,1.6,15.6,17.8,0.614,0.326,0.203,3.8,11.7,8,16.2,1.2,0.6,10,20.7,4.2,2.3,6.5,0.171,2,0.1,2.2,1.9,16.81124283
24,79,14,22.7,3.3,8.4,1.5,4.3,1.8,4.2,0.477,0.9,1.2,0.4,3.5,2.9,0.9,0.3,0.9,1.3,9,12.9,0.501,0.506,0.14,1.9,16.4,9.1,17.7,1.8,1,8.8,18.6,0.9,2.3,3.2,0.086,-0.7,0.5,-0.2,0.8,16.80596578
23,78,78,33.8,6,13.4,1.6,4.4,4.5,9,0.507,2.4,3.2,1.7,5.7,3.7,0.7,0.7,2.1,2.2,16,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,16.80440128
23,63,62,34.5,8.4,18,1.9,5.1,6.5,12.9,0.52,5,6,0.6,4,4.5,1,0.4,3.4,2.2,23.7,18.7,0.574,0.283,0.33,2,12.9,7.4,22.6,1.3,1,14.2,30.5,1.7,1.1,2.8,0.062,2.4,-1.6,0.8,1.5,16.78592502
29,67,35,24.5,4.1,10.3,1.4,4.5,2.7,5.8,0.472,1.9,2.6,0.6,3.3,2.3,1.3,0.6,1.8,2.5,11.6,11.9,0.507,0.434,0.253,2.3,14.6,8.3,13.5,2.5,2.2,13.6,22,-0.7,1.4,0.7,0.021,-2.5,0.2,-2.3,-0.1,16.7740425
32,36,22,27.5,5,12,1.6,4.6,3.4,7.5,0.479,2.2,2.8,0.6,2.5,4.8,0.8,0.1,2,2.3,13.7,13.9,0.517,0.379,0.233,2.1,9.8,6,27.3,1.5,0.5,12.9,23.7,0.6,1,1.6,0.079,-0.5,-0.6,-1.1,0.2,16.77135269
30,42,41,30.1,4.2,9.9,0.8,2.5,3.4,7.4,0.465,2.9,3.6,0.4,2.1,8.2,1,0.4,2.3,2.1,12.1,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0.8,-1.2,-0.4,0.5,16.75994954
30,73,2,22,2.8,6.1,0.2,0.7,2.6,5.4,0.473,1,1.5,0.5,4,3.9,0.5,0.2,1.6,1.5,6.8,11.6,0.504,0.117,0.239,2.5,18.9,10.9,23.6,1,0.9,18.9,15.9,0.5,1.5,2,0.06,-1.8,0.5,-1.3,0.3,16.73902455
28,66,66,31.3,2.8,6.4,0.7,2.5,2.1,3.9,0.501,1,1.4,0.9,6.4,6.9,1.4,1.1,2.6,3,7.4,12.9,0.526,0.391,0.216,3.2,20.8,12.4,26.8,2.2,2.8,26.8,13.1,1.1,3.2,4.3,0.1,-1.3,2.7,1.4,1.8,16.73539419
